numero,texto_quechua
287,"iskay Pachak pusaq Chunka qanchisniyoq"
288,"iskay Pachak pusaq Chunka pusaqniyoq"
289,"iskay Pachak pusaq Chunka isqonniyoq"
290,"iskay Pachak isqon Chunka"
291,"iskay Pachak isqon Chunka hukniyoq"
292,"iskay Pachak isqon Chunka iskayniyoq"
293,"iskay Pachak isqon Chunka kinsayoq"
294,"iskay Pachak isqon Chunka tawayoq"
295,"iskay Pachak isqon Chunka pisq’ayoq"
296,"iskay Pachak isqon Chunka soqtayoq"
297,"iskay Pachak isqon Chunka qanchisniyoq"
298,"iskay Pachak isqon Chunka pusaqniyoq"
299,"iskay Pachak isqon Chunka isqonniyoq"
300,"kinsa Pachak"
301,"kinsa Pachak hukniyoq"
302,"kinsa Pachak iskayniyoq"
303,"kinsa Pachak kinsayoq"
304,"kinsa Pachak tawayoq"
305,"kinsa Pachak pisq’ayoq"
306,"kinsa Pachak soqtayoq"
307,"kinsa Pachak qanchisniyoq"
308,"kinsa Pachak pusaqniyoq"
309,"kinsa Pachak isqonniyoq"
310,"kinsa Pachak Chunka"
311,"kinsa Pachak Chunka hukniyoq"
312,"kinsa Pachak Chunka iskayniyoq"
313,"kinsa Pachak Chunka kinsayoq"
314,"kinsa Pachak Chunka tawayoq"
315,"kinsa Pachak Chunka pisq’ayoq"
316,"kinsa Pachak Chunka soqtayoq"
317,"kinsa Pachak Chunka qanchisniyoq"
318,"kinsa Pachak Chunka pusaqniyoq"
319,"kinsa Pachak Chunka isqonniyoq"
320,"kinsa Pachak iskay Chunka"
321,"kinsa Pachak iskay Chunka hukniyoq"
322,"kinsa Pachak iskay Chunka iskayniyoq"
323,"kinsa Pachak iskay Chunka kinsayoq"
324,"kinsa Pachak iskay Chunka tawayoq"
325,"kinsa Pachak iskay Chunka pisq’ayoq"
326,"kinsa Pachak iskay Chunka soqtayoq"
327,"kinsa Pachak iskay Chunka qanchisniyoq"
328,"kinsa Pachak iskay Chunka pusaqniyoq"
329,"kinsa Pachak iskay Chunka isqonniyoq"
330,"kinsa Pachak kinsa Chunka"
331,"kinsa Pachak kinsa Chunka hukniyoq"
332,"kinsa Pachak kinsa Chunka iskayniyoq"
333,"kinsa Pachak kinsa Chunka kinsayoq"
334,"kinsa Pachak kinsa Chunka tawayoq"
335,"kinsa Pachak kinsa Chunka pisq’ayoq"
336,"kinsa Pachak kinsa Chunka soqtayoq"
337,"kinsa Pachak kinsa Chunka qanchisniyoq"
338,"kinsa Pachak kinsa Chunka pusaqniyoq"
339,"kinsa Pachak kinsa Chunka isqonniyoq"
340,"kinsa Pachak tawa Chunka"
341,"kinsa Pachak tawa Chunka hukniyoq"
342,"kinsa Pachak tawa Chunka iskayniyoq"
343,"kinsa Pachak tawa Chunka kinsayoq"
344,"kinsa Pachak tawa Chunka tawayoq"
345,"kinsa Pachak tawa Chunka pisq’ayoq"
346,"kinsa Pachak tawa Chunka soqtayoq"
347,"kinsa Pachak tawa Chunka qanchisniyoq"
348,"kinsa Pachak tawa Chunka pusaqniyoq"
349,"kinsa Pachak tawa Chunka isqonniyoq"
350,"kinsa Pachak pisq’a Chunka"
351,"kinsa Pachak pisq’a Chunka hukniyoq"
352,"kinsa Pachak pisq’a Chunka iskayniyoq"
353,"kinsa Pachak pisq’a Chunka kinsayoq"
354,"kinsa Pachak pisq’a Chunka tawayoq"
355,"kinsa Pachak pisq’a Chunka pisq’ayoq"
356,"kinsa Pachak pisq’a Chunka soqtayoq"
357,"kinsa Pachak pisq’a Chunka qanchisniyoq"
358,"kinsa Pachak pisq’a Chunka pusaqniyoq"
359,"kinsa Pachak pisq’a Chunka isqonniyoq"
360,"kinsa Pachak soqta Chunka"
361,"kinsa Pachak soqta Chunka hukniyoq"
362,"kinsa Pachak soqta Chunka iskayniyoq"
363,"kinsa Pachak soqta Chunka kinsayoq"
364,"kinsa Pachak soqta Chunka tawayoq"
365,"kinsa Pachak soqta Chunka pisq’ayoq"
366,"kinsa Pachak soqta Chunka soqtayoq"
367,"kinsa Pachak soqta Chunka qanchisniyoq"
368,"kinsa Pachak soqta Chunka pusaqniyoq"
369,"kinsa Pachak soqta Chunka isqonniyoq"
370,"kinsa Pachak qanchis Chunka"
371,"kinsa Pachak qanchis Chunka hukniyoq"
372,"kinsa Pachak qanchis Chunka iskayniyoq"
373,"kinsa Pachak qanchis Chunka kinsayoq"
374,"kinsa Pachak qanchis Chunka tawayoq"
375,"kinsa Pachak qanchis Chunka pisq’ayoq"
376,"kinsa Pachak qanchis Chunka soqtayoq"
377,"kinsa Pachak qanchis Chunka qanchisniyoq"
378,"kinsa Pachak qanchis Chunka pusaqniyoq"
379,"kinsa Pachak qanchis Chunka isqonniyoq"
380,"kinsa Pachak pusaq Chunka"
381,"kinsa Pachak pusaq Chunka hukniyoq"
382,"kinsa Pachak pusaq Chunka iskayniyoq"
383,"kinsa Pachak pusaq Chunka kinsayoq"
384,"kinsa Pachak pusaq Chunka tawayoq"
385,"kinsa Pachak pusaq Chunka pisq’ayoq"
386,"kinsa Pachak pusaq Chunka soqtayoq"
387,"kinsa Pachak pusaq Chunka qanchisniyoq"
388,"kinsa Pachak pusaq Chunka pusaqniyoq"
389,"kinsa Pachak pusaq Chunka isqonniyoq"
390,"kinsa Pachak isqon Chunka"
391,"kinsa Pachak isqon Chunka hukniyoq"
392,"kinsa Pachak isqon Chunka iskayniyoq"
393,"kinsa Pachak isqon Chunka kinsayoq"
394,"kinsa Pachak isqon Chunka tawayoq"
395,"kinsa Pachak isqon Chunka pisq’ayoq"
396,"kinsa Pachak isqon Chunka soqtayoq"
397,"kinsa Pachak isqon Chunka qanchisniyoq"
398,"kinsa Pachak isqon Chunka pusaqniyoq"
399,"kinsa Pachak isqon Chunka isqonniyoq"
400,"tawa Pachak"
401,"tawa Pachak hukniyoq"
402,"tawa Pachak iskayniyoq"
403,"tawa Pachak kinsayoq"
404,"tawa Pachak tawayoq"
405,"tawa Pachak pisq’ayoq"
406,"tawa Pachak soqtayoq"
407,"tawa Pachak qanchisniyoq"
408,"tawa Pachak pusaqniyoq"
409,"tawa Pachak isqonniyoq"
410,"tawa Pachak Chunka"
411,"tawa Pachak Chunka hukniyoq"
412,"tawa Pachak Chunka iskayniyoq"
413,"tawa Pachak Chunka kinsayoq"
414,"tawa Pachak Chunka tawayoq"
415,"tawa Pachak Chunka pisq’ayoq"
416,"tawa Pachak Chunka soqtayoq"
417,"tawa Pachak Chunka qanchisniyoq"
418,"tawa Pachak Chunka pusaqniyoq"
419,"tawa Pachak Chunka isqonniyoq"
420,"tawa Pachak iskay Chunka"
421,"tawa Pachak iskay Chunka hukniyoq"
422,"tawa Pachak iskay Chunka iskayniyoq"
423,"tawa Pachak iskay Chunka kinsayoq"
424,"tawa Pachak iskay Chunka tawayoq"
425,"tawa Pachak iskay Chunka pisq’ayoq"
426,"tawa Pachak iskay Chunka soqtayoq"
427,"tawa Pachak iskay Chunka qanchisniyoq"
428,"tawa Pachak iskay Chunka pusaqniyoq"
429,"tawa Pachak iskay Chunka isqonniyoq"
430,"tawa Pachak kinsa Chunka"
431,"tawa Pachak kinsa Chunka hukniyoq"
432,"tawa Pachak kinsa Chunka iskayniyoq"
433,"tawa Pachak kinsa Chunka kinsayoq"
434,"tawa Pachak kinsa Chunka tawayoq"
435,"tawa Pachak kinsa Chunka pisq’ayoq"
436,"tawa Pachak kinsa Chunka soqtayoq"
437,"tawa Pachak kinsa Chunka qanchisniyoq"
438,"tawa Pachak kinsa Chunka pusaqniyoq"
439,"tawa Pachak kinsa Chunka isqonniyoq"
440,"tawa Pachak tawa Chunka"
441,"tawa Pachak tawa Chunka hukniyoq"
442,"tawa Pachak tawa Chunka iskayniyoq"
443,"tawa Pachak tawa Chunka kinsayoq"
444,"tawa Pachak tawa Chunka tawayoq"
445,"tawa Pachak tawa Chunka pisq’ayoq"
446,"tawa Pachak tawa Chunka soqtayoq"
447,"tawa Pachak tawa Chunka qanchisniyoq"
448,"tawa Pachak tawa Chunka pusaqniyoq"
449,"tawa Pachak tawa Chunka isqonniyoq"
450,"tawa Pachak pisq’a Chunka"
451,"tawa Pachak pisq’a Chunka hukniyoq"
452,"tawa Pachak pisq’a Chunka iskayniyoq"
453,"tawa Pachak pisq’a Chunka kinsayoq"
454,"tawa Pachak pisq’a Chunka tawayoq"
455,"tawa Pachak pisq’a Chunka pisq’ayoq"
456,"tawa Pachak pisq’a Chunka soqtayoq"
457,"tawa Pachak pisq’a Chunka qanchisniyoq"
458,"tawa Pachak pisq’a Chunka pusaqniyoq"
459,"tawa Pachak pisq’a Chunka isqonniyoq"
460,"tawa Pachak soqta Chunka"
461,"tawa Pachak soqta Chunka hukniyoq"
462,"tawa Pachak soqta Chunka iskayniyoq"
463,"tawa Pachak soqta Chunka kinsayoq"
464,"tawa Pachak soqta Chunka tawayoq"
465,"tawa Pachak soqta Chunka pisq’ayoq"
466,"tawa Pachak soqta Chunka soqtayoq"
467,"tawa Pachak soqta Chunka qanchisniyoq"
468,"tawa Pachak soqta Chunka pusaqniyoq"
469,"tawa Pachak soqta Chunka isqonniyoq"
470,"tawa Pachak qanchis Chunka"
471,"tawa Pachak qanchis Chunka hukniyoq"
472,"tawa Pachak qanchis Chunka iskayniyoq"
473,"tawa Pachak qanchis Chunka kinsayoq"
474,"tawa Pachak qanchis Chunka tawayoq"
475,"tawa Pachak qanchis Chunka pisq’ayoq"
476,"tawa Pachak qanchis Chunka soqtayoq"
477,"tawa Pachak qanchis Chunka qanchisniyoq"
478,"tawa Pachak qanchis Chunka pusaqniyoq"
479,"tawa Pachak qanchis Chunka isqonniyoq"
480,"tawa Pachak pusaq Chunka"
481,"tawa Pachak pusaq Chunka hukniyoq"
482,"tawa Pachak pusaq Chunka iskayniyoq"
483,"tawa Pachak pusaq Chunka kinsayoq"
484,"tawa Pachak pusaq Chunka tawayoq"
485,"tawa Pachak pusaq Chunka pisq’ayoq"
486,"tawa Pachak pusaq Chunka soqtayoq"
487,"tawa Pachak pusaq Chunka qanchisniyoq"
488,"tawa Pachak pusaq Chunka pusaqniyoq"
489,"tawa Pachak pusaq Chunka isqonniyoq"
490,"tawa Pachak isqon Chunka"
491,"tawa Pachak isqon Chunka hukniyoq"
492,"tawa Pachak isqon Chunka iskayniyoq"
493,"tawa Pachak isqon Chunka kinsayoq"
494,"tawa Pachak isqon Chunka tawayoq"
495,"tawa Pachak isqon Chunka pisq’ayoq"
496,"tawa Pachak isqon Chunka soqtayoq"
497,"tawa Pachak isqon Chunka qanchisniyoq"
498,"tawa Pachak isqon Chunka pusaqniyoq"
499,"tawa Pachak isqon Chunka isqonniyoq"
500,"pisq’a Pachak"
501,"pisq’a Pachak hukniyoq"
502,"pisq’a Pachak iskayniyoq"
503,"pisq’a Pachak kinsayoq"
504,"pisq’a Pachak tawayoq"
505,"pisq’a Pachak pisq’ayoq"
506,"pisq’a Pachak soqtayoq"
507,"pisq’a Pachak qanchisniyoq"
508,"pisq’a Pachak pusaqniyoq"
509,"pisq’a Pachak isqonniyoq"
510,"pisq’a Pachak Chunka"
511,"pisq’a Pachak Chunka hukniyoq"
512,"pisq’a Pachak Chunka iskayniyoq"
513,"pisq’a Pachak Chunka kinsayoq"
514,"pisq’a Pachak Chunka tawayoq"
515,"pisq’a Pachak Chunka pisq’ayoq"
516,"pisq’a Pachak Chunka soqtayoq"
517,"pisq’a Pachak Chunka qanchisniyoq"
518,"pisq’a Pachak Chunka pusaqniyoq"
519,"pisq’a Pachak Chunka isqonniyoq"
520,"pisq’a Pachak iskay Chunka"
521,"pisq’a Pachak iskay Chunka hukniyoq"
522,"pisq’a Pachak iskay Chunka iskayniyoq"
523,"pisq’a Pachak iskay Chunka kinsayoq"
524,"pisq’a Pachak iskay Chunka tawayoq"
525,"pisq’a Pachak iskay Chunka pisq’ayoq"
526,"pisq’a Pachak iskay Chunka soqtayoq"
527,"pisq’a Pachak iskay Chunka qanchisniyoq"
528,"pisq’a Pachak iskay Chunka pusaqniyoq"
529,"pisq’a Pachak iskay Chunka isqonniyoq"
530,"pisq’a Pachak kinsa Chunka"
531,"pisq’a Pachak kinsa Chunka hukniyoq"
532,"pisq’a Pachak kinsa Chunka iskayniyoq"
533,"pisq’a Pachak kinsa Chunka kinsayoq"
534,"pisq’a Pachak kinsa Chunka tawayoq"
535,"pisq’a Pachak kinsa Chunka pisq’ayoq"
536,"pisq’a Pachak kinsa Chunka soqtayoq"
537,"pisq’a Pachak kinsa Chunka qanchisniyoq"
538,"pisq’a Pachak kinsa Chunka pusaqniyoq"
539,"pisq’a Pachak kinsa Chunka isqonniyoq"
540,"pisq’a Pachak tawa Chunka"
541,"pisq’a Pachak tawa Chunka hukniyoq"
542,"pisq’a Pachak tawa Chunka iskayniyoq"
543,"pisq’a Pachak tawa Chunka kinsayoq"
544,"pisq’a Pachak tawa Chunka tawayoq"
545,"pisq’a Pachak tawa Chunka pisq’ayoq"
546,"pisq’a Pachak tawa Chunka soqtayoq"
547,"pisq’a Pachak tawa Chunka qanchisniyoq"
548,"pisq’a Pachak tawa Chunka pusaqniyoq"
549,"pisq’a Pachak tawa Chunka isqonniyoq"
550,"pisq’a Pachak pisq’a Chunka"
551,"pisq’a Pachak pisq’a Chunka hukniyoq"
552,"pisq’a Pachak pisq’a Chunka iskayniyoq"
553,"pisq’a Pachak pisq’a Chunka kinsayoq"
554,"pisq’a Pachak pisq’a Chunka tawayoq"
555,"pisq’a Pachak pisq’a Chunka pisq’ayoq"
556,"pisq’a Pachak pisq’a Chunka soqtayoq"
557,"pisq’a Pachak pisq’a Chunka qanchisniyoq"
558,"pisq’a Pachak pisq’a Chunka pusaqniyoq"
559,"pisq’a Pachak pisq’a Chunka isqonniyoq"
560,"pisq’a Pachak soqta Chunka"
561,"pisq’a Pachak soqta Chunka hukniyoq"
562,"pisq’a Pachak soqta Chunka iskayniyoq"
563,"pisq’a Pachak soqta Chunka kinsayoq"
564,"pisq’a Pachak soqta Chunka tawayoq"
565,"pisq’a Pachak soqta Chunka pisq’ayoq"
566,"pisq’a Pachak soqta Chunka soqtayoq"
567,"pisq’a Pachak soqta Chunka qanchisniyoq"
568,"pisq’a Pachak soqta Chunka pusaqniyoq"
569,"pisq’a Pachak soqta Chunka isqonniyoq"
570,"pisq’a Pachak qanchis Chunka"
571,"pisq’a Pachak qanchis Chunka hukniyoq"
572,"pisq’a Pachak qanchis Chunka iskayniyoq"
573,"pisq’a Pachak qanchis Chunka kinsayoq"
574,"pisq’a Pachak qanchis Chunka tawayoq"
575,"pisq’a Pachak qanchis Chunka pisq’ayoq"
576,"pisq’a Pachak qanchis Chunka soqtayoq"
577,"pisq’a Pachak qanchis Chunka qanchisniyoq"
578,"pisq’a Pachak qanchis Chunka pusaqniyoq"
579,"pisq’a Pachak qanchis Chunka isqonniyoq"
580,"pisq’a Pachak pusaq Chunka"
581,"pisq’a Pachak pusaq Chunka hukniyoq"
582,"pisq’a Pachak pusaq Chunka iskayniyoq"
583,"pisq’a Pachak pusaq Chunka kinsayoq"
584,"pisq’a Pachak pusaq Chunka tawayoq"
585,"pisq’a Pachak pusaq Chunka pisq’ayoq"
586,"pisq’a Pachak pusaq Chunka soqtayoq"
587,"pisq’a Pachak pusaq Chunka qanchisniyoq"
588,"pisq’a Pachak pusaq Chunka pusaqniyoq"
589,"pisq’a Pachak pusaq Chunka isqonniyoq"
590,"pisq’a Pachak isqon Chunka"
591,"pisq’a Pachak isqon Chunka hukniyoq"
592,"pisq’a Pachak isqon Chunka iskayniyoq"
593,"pisq’a Pachak isqon Chunka kinsayoq"
594,"pisq’a Pachak isqon Chunka tawayoq"
595,"pisq’a Pachak isqon Chunka pisq’ayoq"
596,"pisq’a Pachak isqon Chunka soqtayoq"
597,"pisq’a Pachak isqon Chunka qanchisniyoq"
598,"pisq’a Pachak isqon Chunka pusaqniyoq"
